Number,Frage,Antwort
3232,Ich hatte ein Autoproblem und bin deshalb online gegangen.,Hast du eine Lösung gefunden?
3233,Hast du eine Lösung gefunden?,"Ja, habe ich. Eine Website, die ich besuchte, sagte, sie würden mir die Lösung schicken."
3234,"Ja, habe ich. Eine Website, die ich besuchte, sagte, sie würden mir die Lösung schicken.","also, was ist das Problem?"
3235,"also, was ist das Problem?","Ich habe ihnen 20 $ mit meiner Kreditkarte geschickt, aber sie haben mir nie die Lösung geschickt."
3236,"Ich habe ihnen 20 $ mit meiner Kreditkarte geschickt, aber sie haben mir nie die Lösung geschickt.",was werden Sie tun?
3237,what are you going to do?,Ich schickte ihnen eine E-Mail mit der Bitte um mein Geld zurück.
3238,Ich schickte ihnen eine E-Mail mit der Bitte um mein Geld zurück.,Hast du von ihnen gehört?
3239,Hast du von ihnen gehört?,Noch nicht. es ist eine Woche her.
3240,Noch nicht. es ist eine Woche her.,"Nun, ich schätze, das ist eine 20-Dollar-Lektion für dich."
3241,Wo ist der Bleistiftanspitzer?,welcher?
3242,which one?,irgendjemand. Ich muss diesen Bleistift spitzen.
3243,irgendjemand. Ich muss diesen Bleistift spitzen.,"Ich glaube, da liegt einer auf dem Esstisch."
3244,"Ich glaube, da liegt einer auf dem Esstisch.",da habe ich schon nachgeschaut.
3245,da habe ich schon nachgeschaut.,Hast du in die Schreibtischschublade geschaut?
3246,Hast du in die Schreibtischschublade geschaut?,"ja, da habe ich auch nachgeschaut."
3247,"ja, da habe ich auch nachgeschaut.",Haben wir nicht etwa fünf Anspitzer?
3248,Haben wir nicht etwa fünf Anspitzer?,"ja, aber sie scheinen Beine zu haben."
3249,"ja, aber sie scheinen Beine zu haben.",Morgen werde ich einen elektrischen Schärfer kaufen.
3250,Morgen werde ich einen elektrischen Schärfer kaufen.,Holen Sie sich eines mit Gummisaugnäpfen an der Unterseite.
3251,Holen Sie sich eines mit Gummisaugnäpfen an der Unterseite.,"Ja. So bleibt es dort, wo ich es hingelegt habe."
3252,"Ich versuche, mein Geld zu sparen.",Wie machst du das?
3253,Wie machst du das?,"Ich fing an, im Dollar Store einzukaufen."
3254,"Ich fing an, im Dollar Store einzukaufen.",das spart viel Geld.
3255,das spart viel Geld.,Ich habe drei Pfund Kartoffeln für einen Dollar gekauft.
3256,Ich habe drei Pfund Kartoffeln für einen Dollar gekauft.,Das ist ein guter Deal.
3257,that's a good deal.,"ja, obwohl einige der Kartoffeln Augen hatten."
3258,"ja, obwohl einige der Kartoffeln Augen hatten.",einfach in den Kühlschrank stellen.
3259,einfach in den Kühlschrank stellen.,Außerdem kaufte ich eine Dose billigen Kaffee und eine Tüte guten Kaffee.
3260,Außerdem kaufte ich eine Dose billigen Kaffee und eine Tüte guten Kaffee.,warum hast du das getan?
3261,why did you do that?,Ich habe sie zusammengemischt.
3262,Ich habe sie zusammengemischt.,"Wenn der Kaffee noch gut schmeckt, ist das eine gute Idee."
3263,Ich mag dieses Haus wirklich.,Können wir es uns leisten?
3264,Können wir es uns leisten?,Sie wollen 20 Prozent weniger.
3265,Sie wollen 20 Prozent weniger.,das ist eine Menge Geld.
3266,that's a lot of money.,aber das Haus ist so schön.
3267,aber das Haus ist so schön.,Es liegt in einer tollen Gegend.
3268,Es liegt in einer tollen Gegend.,Es liegt in der Nähe des Strandes.
3269,Es liegt in der Nähe des Strandes.,Es liegt in der Nähe der Autobahnen.
3270,Es liegt in der Nähe der Autobahnen.,Es hat einen großen Garten.
3271,Es hat einen großen Garten.,Auch die Kinder lieben das Haus.
3272,Auch die Kinder lieben das Haus.,"Wenn wir es nicht kaufen, wird es jemand anderes tun."
3273,"Wenn wir es nicht kaufen, wird es jemand anderes tun.",Sie haben Recht. Lass es uns jetzt kaufen. Wir können uns später Sorgen machen.
3274,Wir können uns dieses Haus nicht leisten.,bist du sicher?
3275,are you sure?,"Wir werden reich an Häusern sein, aber arm an Bargeld."
3276,"Wir werden reich an Häusern sein, aber arm an Bargeld.",Wie meinst du das?
3277,what do you mean?,unsere monatlichen Zahlungen werden zu hoch sein.
3278,unsere monatlichen Zahlungen werden zu hoch sein.,Wir haben kein Geld für andere Dinge?
3279,Wir haben kein Geld für andere Dinge?,"Nein, wir werden kein Geld für Benzin oder Essen haben."
3280,"Nein, wir werden kein Geld für Benzin oder Essen haben.",Wir werden Erdnussbutter-Sandwiches essen?
3281,Wir werden Erdnussbutter-Sandwiches essen?,ohne Erdnussbutter!
3282,ohne Erdnussbutter!,das ist nicht gut!
3283,das ist nicht gut!,Wir müssen ein günstigeres Haus finden.
3284,Wir müssen ein günstigeres Haus finden.,Natürlich. Wir können nicht ohne Benzin oder Erdnussbutter leben.
3285,das ist ein wunderschönes Haus.,Mir gefällt es nicht.
3286,Mir gefällt es nicht.,was ist das Problem damit?
3287,what's the matter with it?,Es ist an der Ecke.
3288,Es ist an der Ecke.,Also?
3289,so?,"Das bedeutet, dass es doppelt so viel Verkehr gibt."
3290,"Das bedeutet, dass es doppelt so viel Verkehr gibt.",sie haben Recht.
3291,you're right.,"Wenn Sie drinnen sind, werden Sie immer hören, wie Autos an der Kreuzung anhalten und anhalten."
3292,"Wenn Sie drinnen sind, werden Sie immer hören, wie Autos an der Kreuzung anhalten und anhalten.","Oder Sie hören die Kollision, wenn jemand nicht anhält."
3293,"Oder Sie hören die Kollision, wenn jemand nicht anhält.","oder Sie werden die Kollision sehen, wenn sie gegen das Haus prallen."
3294,"oder Sie werden die Kollision sehen, wenn sie gegen das Haus prallen.","Lass uns ein Haus finden, das am Ende einer Sackgasse liegt."
3295,"Lass uns ein Haus finden, das am Ende einer Sackgasse liegt.","Das ist großartig. Je weniger Verkehr, desto besser."
3296,"Ich hasse es, eine Wohnung zu suchen.",Ich auch.
3297,Ich auch.,"Wir haben um 14 Uhr einen Termin, um den auf der Hauptstraße zu sehen."
3298,"Wir haben um 14 Uhr einen Termin, um den auf der Hauptstraße zu sehen.",wir machen uns besser bereit zu gehen.
3299,wir machen uns besser bereit zu gehen.,Es ist eine Einheit im Obergeschoss.
3300,Es ist eine Einheit im Obergeschoss.,"Das ist gut, denn ich möchte nicht unter Menschen mit lauten Füßen leben."
3301,"Das ist gut, denn ich möchte nicht unter Menschen mit lauten Füßen leben.",und es ist eine Eckeinheit.
3302,und es ist eine Eckeinheit.,das ist großartig. Wir werden keine Nachbarn auf beiden Seiten haben.
3303,das ist großartig. Wir werden keine Nachbarn auf beiden Seiten haben.,Es sind keine Haustiere erlaubt.
3304,Es sind keine Haustiere erlaubt.,perfekt. Wir müssen nicht auf bellende Hunde hören.
3305,perfekt. Wir müssen nicht auf bellende Hunde hören.,und es gibt im gesamten Gebäude nur sechs Wohneinheiten.
3306,und es gibt im gesamten Gebäude nur sechs Wohneinheiten.,"Wo ist das Scheckbuch? Ich bin bereit, es zu mieten, ohne es überhaupt gesehen zu haben."
3307,Hast du den Manager angerufen?,"Ja. Er sagte, er würde morgen vorbeikommen."
3308,"Ja. Er sagte, er würde morgen vorbeikommen.","Hat er gesagt, wie spät?"
3309,"Hat er gesagt, wie spät?","Ja. Er sagte, er würde um 9 Uhr hier sein."
3310,"Ja. Er sagte, er würde um 9 Uhr hier sein.","Hat er verstanden, wo das Problem liegt?"
3311,"Hat er verstanden, wo das Problem liegt?","Ja. Ich habe ihm gesagt, dass unsere Türklingel nicht funktioniert."
3312,"Ja. Ich habe ihm gesagt, dass unsere Türklingel nicht funktioniert.","Es sollte nicht lange dauern, bis er das Problem behoben hat."
3313,"Es sollte nicht lange dauern, bis er das Problem behoben hat.","Ich weiß nicht einmal, warum wir es reparieren müssen."
3314,"Ich weiß nicht einmal, warum wir es reparieren müssen.",falls wir Besuch haben.
3315,falls wir Besuch haben.,aber sie können einfach an die Tür klopfen.
3316,aber sie können einfach an die Tür klopfen.,"Eigentlich möchte ich, dass er sich auch unseren Teppich ansieht."
3317,"Eigentlich möchte ich, dass er sich auch unseren Teppich ansieht.","Ja, es wäre schön, wenn er uns einen neuen Teppich schenken würde."
3318,Gefällt dir dieses Haus?,ja es ist schön.
3319,ja es ist schön.,Es ist perfekt für uns und die Kinder.
3320,Es ist perfekt für uns und die Kinder.,"drei Schlafzimmer, drei Badezimmer und ein großer Hinterhof."
3321,"drei Schlafzimmer, drei Badezimmer und ein großer Hinterhof.",und wir können es uns leisten!
3322,und wir können es uns leisten!,Also werden wir es kaufen?
3323,Also werden wir es kaufen?,Ich fürchte nein.
3324,Ich fürchte nein.,"Es ist zu weit von Ihrem Job entfernt, nicht wahr?"
3325,"Es ist zu weit von Ihrem Job entfernt, nicht wahr?",Ich kann nicht jeden Tag vier Stunden unterwegs sein.
3326,Ich kann nicht jeden Tag vier Stunden unterwegs sein.,"Wenn Sie nach Hause kommen, werden Sie zu müde sein, um überhaupt etwas zu essen."
3327,"Wenn Sie nach Hause kommen, werden Sie zu müde sein, um überhaupt etwas zu essen.","Ich werde nicht in der Lage sein, mit den Kindern zu spielen."
3328,"Ich werde nicht in der Lage sein, mit den Kindern zu spielen.","Nein, wir müssen etwas finden, das näher an Ihrem Job liegt."
3329,"Junge, es ist doch kühl draußen, nicht wahr?",das ist es auf jeden Fall.
3330,it sure is.,Tatsächlich ist es auch in der Wohnung kühl.
3331,Tatsächlich ist es auch in der Wohnung kühl.,Lass uns die Heizung anmachen.
3332,Lass uns die Heizung anmachen.,"Ich werde nachsehen, ob alle Fenster geschlossen sind."
3333,"Ich werde nachsehen, ob alle Fenster geschlossen sind.",In ein paar Minuten sollte es wärmer sein.
3334,In ein paar Minuten sollte es wärmer sein.,"Es ist so schön, eine beheizte Wohnung zu haben."
3335,"Es ist so schön, eine beheizte Wohnung zu haben.",Wie haben sie früher überlebt?
3336,Wie haben sie früher überlebt?,sie hatten Kamine.
3337,sie hatten Kamine.,jemand musste das Holz hacken.
3338,jemand musste das Holz hacken.,und trage es ins Haus.
3339,und trage es ins Haus.,"Alles was wir tun müssen, ist einen Schalter umzulegen."
3340,Das ist eine schöne Gegend.,Die Straßen sind sauber und ruhig.
3341,Die Straßen sind sauber und ruhig.,Die Nachbarn feiern am Wochenende nicht.
3342,Die Nachbarn feiern am Wochenende nicht.,Menschen kümmern sich um ihren Rasen.
3343,Menschen kümmern sich um ihren Rasen.,In den Vorgärten stehen keine rostigen alten Autos.
3344,In den Vorgärten stehen keine rostigen alten Autos.,Wir müssen nie wegen irgendetwas die Polizei rufen.
3345,Wir müssen nie wegen irgendetwas die Polizei rufen.,Unsere Kinder sind völlig sicher.
3346,Unsere Kinder sind völlig sicher.,Warum verkaufen wir also unser Haus?
3347,Warum verkaufen wir also unser Haus?,Sie bauen an der Ecke ein dreistöckiges Wohnhaus.
3348,Sie bauen an der Ecke ein dreistöckiges Wohnhaus.,"Wir müssen also verkaufen, bevor die Immobilienwerte sinken?"
3349,"Wir müssen also verkaufen, bevor die Immobilienwerte sinken?","Ja. Ich kann immer noch nicht glauben, dass unser Stadtrat dieses Gebäude genehmigt hat."
3350,"Ja. Ich kann immer noch nicht glauben, dass unser Stadtrat dieses Gebäude genehmigt hat.",Sie bekommen wahrscheinlich etwas unter den Tisch.
3351,Das war ein riesiger Brand in Santa Barbara.,"ja, war es."
3352,"yes, it was.","Sie sagten, etwa 30 Häuser seien bis auf die Grundmauern niedergebrannt."
3353,"Sie sagten, etwa 30 Häuser seien bis auf die Grundmauern niedergebrannt.",und es waren teure Häuser.
3354,und es waren teure Häuser.,Diese Leute tun mir so leid.
3355,Diese Leute tun mir so leid.,Warum haben reiche Leute Mitleid?
3356,Warum haben reiche Leute Mitleid?,"Es tut mir leid für jeden, der sein Zuhause verliert."
3357,"Es tut mir leid für jeden, der sein Zuhause verliert.","Ich auch, aber nicht, wenn sie reich sind."
3358,"Ich auch, aber nicht, wenn sie reich sind.",was hat das damit zu tun?
3359,was hat das damit zu tun?,"Reiche Leute denken, sie seien besser als wir."
3360,"Reiche Leute denken, sie seien besser als wir.",Wie viele reiche Leute kennst du?
3361,Wie viele reiche Leute kennst du?,keiner.
3362,Bären dringen in unsere Nachbarschaften ein.,natürlich sind sie. sie verhungern.
3363,natürlich sind sie. sie verhungern.,"Sie sollten im Wald bleiben, wo sie hingehören."
3364,"Sie sollten im Wald bleiben, wo sie hingehören.",Im Wald gibt es kein Essen.
3365,Im Wald gibt es kein Essen.,Können sie kein Gras essen?
3366,Können sie kein Gras essen?,"Glaubst du, ein Bär ist eine Kuh?"
3367,"Glaubst du, ein Bär ist eine Kuh?","Nun, ich habe gesehen, wie sie Beeren gegessen haben."
3368,"Nun, ich habe gesehen, wie sie Beeren gegessen haben.",Beeren haben nicht das ganze Jahr über Saison.
3369,Beeren haben nicht das ganze Jahr über Saison.,Es ist zu gefährlich für Kinder und Haustiere.
3370,Es ist zu gefährlich für Kinder und Haustiere.,Die Leute müssen ihre Mülleimer abdecken.
3371,Die Leute müssen ihre Mülleimer abdecken.,Die Polizei muss alle Bären erschießen.
3372,Die Polizei muss alle Bären erschießen.,"Man löst ein Problem nicht, indem man es erschießt."
3373,Für wen hast du gestimmt?,Ich habe für Obama gestimmt.
3374,Ich habe für Obama gestimmt.,Ich auch.
3375,me too.,Er wird ein großartiger Präsident sein.
3376,Er wird ein großartiger Präsident sein.,jeder mag ihn.
3377,jeder mag ihn.,er ist ein guter Redner.
3378,er ist ein guter Redner.,und er ist wirklich schlau.
3379,und er ist wirklich schlau.,Er wird unsere Probleme lösen.
3380,Er wird unsere Probleme lösen.,er wird den Krieg beenden.
3381,er wird den Krieg beenden.,Die nächsten vier Jahre werden gute Jahre sein.
3382,Die nächsten vier Jahre werden gute Jahre sein.,Ich werde auch das nächste Mal für ihn stimmen.
3383,Ich werde auch das nächste Mal für ihn stimmen.,"Ich denke, das wird jeder tun."
3384,Die Wahl ist nächste Woche.,Für wen stimmst du?
3385,Für wen stimmst du?,Ich wähle nicht den Bürgermeister.
3386,Ich wähle nicht den Bürgermeister.,Warum nicht?
3387,why not?,"Er machte Versprechen, die er nicht hielt."
3388,"Er machte Versprechen, die er nicht hielt.",Wie was?
3389,like what?,"er versprach, 1.000 weitere Polizisten einzustellen."
3390,"er versprach, 1.000 weitere Polizisten einzustellen.",Wie viele hat er eingestellt?
3391,Wie viele hat er eingestellt?,einhundert!
3392,einhundert!,vielleicht hatte er einen guten Grund.
3393,vielleicht hatte er einen guten Grund.,vielleicht ist er nur ein Lügner.
3394,vielleicht ist er nur ein Lügner.,Vielleicht wähle ich auch jemand anderen.
3395,"Ich kann nicht glauben, dass er die Wahl gewonnen hat.",Nur 15 Prozent der Wähler gingen zur Wahl.
3396,Nur 15 Prozent der Wähler gingen zur Wahl.,das ist ein Witz.
3397,das ist ein Witz.,"Wählen ist so wichtig, aber die Leute kümmern sich nicht darum."
3398,"Wählen ist so wichtig, aber die Leute kümmern sich nicht darum.","Viele Leute denken, dass ihre Stimme keine Rolle spielt."
3399,"Viele Leute denken, dass ihre Stimme keine Rolle spielt.",Der Bürgermeister gewann mit nur 2.000 Stimmen.
3400,Der Bürgermeister gewann mit nur 2.000 Stimmen.,wir bleiben noch vier Jahre bei ihm.
3401,wir bleiben noch vier Jahre bei ihm.,Abstimmen ist so einfach. Sie können Ihren Stimmzettel sogar per Post einschicken.
3402,Abstimmen ist so einfach. Sie können Ihren Stimmzettel sogar per Post einschicken.,"Alles, was Sie tun müssen, ist abzustimmen und einen Stempel darauf zu setzen."
3403,"Alles, was Sie tun müssen, ist abzustimmen und einen Stempel darauf zu setzen.",Wie einfach ist das?
3404,Wie einfach ist das?,"Ich schätze, den Leuten ist es einfach egal."
3405,"Ich schätze, den Leuten ist es einfach egal.","Sie werden sich darum kümmern, wenn ihre Steuern steigen."
3406,"Nun, wir haben einen neuen Präsidenten.",aber wir haben die gleichen alten Probleme.
3407,aber wir haben die gleichen alten Probleme.,"Nun, er hat ein paar Änderungen vorgenommen."
3408,"Nun, er hat ein paar Änderungen vorgenommen.",Wie was?
3409,like what?,"Ich glaube, er hat die Bowlingbahn im Weißen Haus geschlossen."
3410,"Ich glaube, er hat die Bowlingbahn im Weißen Haus geschlossen.",Oh ja. Er verwandelt es in einen Basketballplatz.
3411,Oh ja. Er verwandelt es in einen Basketballplatz.,Wer bezahlt das?
3412,Wer bezahlt das?,Ich denke wir sind!
3413,Ich denke wir sind!,"Nun, das ist in Ordnung, solange es ihm hilft, sich zu entspannen und klarer zu denken."
3414,"Nun, das ist in Ordnung, solange es ihm hilft, sich zu entspannen und klarer zu denken.","Ja, wir brauchen einen entspannten Präsidenten, der klar denkt."
3415,"Ja, wir brauchen einen entspannten Präsidenten, der klar denkt.","Gibt es andere führende Persönlichkeiten der Welt, die einen Basketballplatz haben?"
3416,"Gibt es andere führende Persönlichkeiten der Welt, die einen Basketballplatz haben?","Sie werden. Sie wissen, dass Amerika immer den Weg weist."
3417,"Die Leute sagen, dass jeder Obama liebt.","Nun, mehr als 50 Millionen Menschen haben für McCain gestimmt."
3418,"Nun, mehr als 50 Millionen Menschen haben für McCain gestimmt.","Das sind 50 Millionen Menschen, die Obama nicht lieben."
3419,"Das sind 50 Millionen Menschen, die Obama nicht lieben.","Obama hat vier Jahre Zeit, um alle glücklich zu machen."
3420,"Obama hat vier Jahre Zeit, um alle glücklich zu machen.",Er wird nie alle glücklich machen.
3421,Er wird nie alle glücklich machen.,"Können Sie sich vorstellen, Präsident zu sein?"
3422,"Können Sie sich vorstellen, Präsident zu sein?","Jeder möchte, dass du seine Probleme löst."
3423,"Jeder möchte, dass du seine Probleme löst.","Ich habe genug Stress durch den Versuch, meine eigenen Probleme zu lösen."
3424,"Ich habe genug Stress durch den Versuch, meine eigenen Probleme zu lösen.",Du und alle anderen.
3425,Du und alle anderen.,Ich würde nie Präsident werden wollen.
3426,Ich würde nie Präsident werden wollen.,"Aber denken Sie an all die Macht, die Sie hätten."
3427,"Aber denken Sie an all die Macht, die Sie hätten.",Ich bevorzuge mein ruhiges kleines Leben gegenüber aller Macht der Welt.
3428,Hast du diesen Artikel gelesen?,welcher Artikel?
3429,welcher Artikel?,"Es heißt, der Bürgermeister verbringt nur 11 Prozent seiner Zeit mit städtischen Aufgaben."
3430,"Es heißt, der Bürgermeister verbringt nur 11 Prozent seiner Zeit mit städtischen Aufgaben.",nur 11 Prozent?
3431,nur 11 Prozent?,etwa 50 Prozent seiner Zeit ist er unterwegs.
3432,etwa 50 Prozent seiner Zeit ist er unterwegs.,wohin reist er?
3433,wohin reist er?,"oh, auf der ganzen Welt."
3434,"oh, auf der ganzen Welt.",Aber er soll unsere Stadt zu einem besseren Ort machen.
3435,Aber er soll unsere Stadt zu einem besseren Ort machen.,"Er besucht andere Städte, um Ideen zu sammeln."
3436,"Er besucht andere Städte, um Ideen zu sammeln.",Kann er nicht einfach online gehen?
3437,Kann er nicht einfach online gehen?,Den Rest der Zeit sammelt er Geld für seine Wiederwahl.
3438,Den Rest der Zeit sammelt er Geld für seine Wiederwahl.,"Nun ja, er wird nie wiedergewählt, sobald diese Nachricht bekannt wird."
3439,Wen haben Sie zum Präsidenten gewählt?,Ich habe für Ralph Nader gestimmt.
3440,Ich habe für Ralph Nader gestimmt.,Wer in aller Welt ist Ralph Nader?
3441,Wer in aller Welt ist Ralph Nader?,Er ist der beste Mann für das Amt des Präsidenten.
3442,Er ist der beste Mann für das Amt des Präsidenten.,warum ist das?
3443,why's that?,er hasst Konzerne.
3444,er hasst Konzerne.,"Nun ja, die meisten Unternehmen denken nur an Geld."
3445,"Nun ja, die meisten Unternehmen denken nur an Geld.",er hasst Demokraten und Republikaner.
3446,er hasst Demokraten und Republikaner.,"Nun ja, sie stellen ihre Partei über ihr Land."
3447,"Nun ja, sie stellen ihre Partei über ihr Land.","Er ist der einzige Kandidat, dem ich vertraue."
3448,"Er ist der einzige Kandidat, dem ich vertraue.",aber er hatte keine Chance. Niemand hat für ihn gestimmt!
3449,aber er hatte keine Chance. Niemand hat für ihn gestimmt!,Früher oder später werden die Wähler aufwachen.
3450,"Ich weiß nicht, warum ich mir die Mühe mache, abzustimmen.",warum ist das?
3451,why's that?,Was nützt es?
3452,Was nützt es?,"Du kannst jemanden an die Macht bringen, den du magst."
3453,"Du kannst jemanden an die Macht bringen, den du magst.",Nur wenn mein Kandidat gewinnt.
3454,Nur wenn mein Kandidat gewinnt.,"Nun ja, er kann nicht gewinnen, wenn Sie und andere nicht für ihn stimmen."
3455,"Nun ja, er kann nicht gewinnen, wenn Sie und andere nicht für ihn stimmen.","Aber selbst wenn mein Kandidat gewinnt, wird er seine Versprechen brechen."
3456,"Aber selbst wenn mein Kandidat gewinnt, wird er seine Versprechen brechen.","das ist richtig. Sie versprechen alles, nur damit sie gewählt werden."
3457,"das ist richtig. Sie versprechen alles, nur damit sie gewählt werden.","und wenn sie gewählt werden, gehen sie ihren eigenen Weg."
3458,"und wenn sie gewählt werden, gehen sie ihren eigenen Weg.","Sie vergessen, wer sie an die Macht gebracht hat."
3459,"Sie vergessen, wer sie an die Macht gebracht hat.","sie vergessen, woher sie kamen."
3460,"sie vergessen, woher sie kamen.",Vielleicht solltest du für ein Amt kandidieren.
3461,Diese Wahl für uns. Senator stank.,Wie meinst du das?
3462,what do you mean?,Es gab mehr Stimmen als Wähler!
3463,Es gab mehr Stimmen als Wähler!,aber das ist unmöglich.
3464,aber das ist unmöglich.,"Beamte sagten, dass es möglich sei."
3465,"Beamte sagten, dass es möglich sei.","Haben sie erklärt, wie das möglich ist?"
3466,"Haben sie erklärt, wie das möglich ist?","NEIN. Sie sagten, es gibt einige Dinge, die man nicht erklären kann."
3467,"NEIN. Sie sagten, es gibt einige Dinge, die man nicht erklären kann.",Werden sie also eine weitere Wahl abhalten?
3468,Werden sie also eine weitere Wahl abhalten?,NEIN. das wird zu viel Geld kosten.
3469,NEIN. das wird zu viel Geld kosten.,"Es ist also besser, Geld zu sparen, als eine ehrliche Wahl durchzuführen?"
3470,"Es ist also besser, Geld zu sparen, als eine ehrliche Wahl durchzuführen?","Nun ja, die Demokratische Partei sagt, es sei eine ehrliche Wahl gewesen."
3471,"Nun ja, die Demokratische Partei sagt, es sei eine ehrliche Wahl gewesen.",Natürlich sagen sie das – ihr Mann hat gewonnen!
3472,"Ich sehe, dass der ehemalige Präsident Bush auf einer Konferenz ist.",Ja. Er erzählt Witze über seine acht Jahre als Präsident.
3473,Ja. Er erzählt Witze über seine acht Jahre als Präsident.,"Ja, diese acht Jahre haben allen viel Spaß gemacht."
3474,"Ja, diese acht Jahre haben allen viel Spaß gemacht.",Nur 4.000 amerikanische Soldaten wurden im Ausland getötet.
3475,Nur 4.000 amerikanische Soldaten wurden im Ausland getötet.,ganz zu schweigen von 40.000 verwundeten Soldaten.
3476,ganz zu schweigen von 40.000 verwundeten Soldaten.,Aber Bush besuchte einige von ihnen einmal im Krankenhaus.
3477,Aber Bush besuchte einige von ihnen einmal im Krankenhaus.,"Schön, dass er die Zeit für einen Besuch gefunden hat."
3478,"Schön, dass er die Zeit für einen Besuch gefunden hat.","Er sprach mit ihnen und sorgte dafür, dass sie sich besser fühlten."
3479,"Er sprach mit ihnen und sorgte dafür, dass sie sich besser fühlten.","Hat er mit jeder Familie gesprochen, die einen Soldaten verloren hat?"
3480,"Hat er mit jeder Familie gesprochen, die einen Soldaten verloren hat?","Nein, dafür hatte er keine Zeit."
3481,"Nein, dafür hatte er keine Zeit.","Nun ja, er hat jetzt jede Menge Zeit!"
3482,"Nun ja, er hat jetzt jede Menge Zeit!","Nein, er ist damit beschäftigt, ein Buch darüber zu schreiben, wie schwer es war, Präsident zu sein."
3483,Haben Sie Ihren offiziellen Musterstimmzettel erhalten?,"ja, mit den Wähleranweisungen."
3484,"ja, mit den Wähleranweisungen.",Wie wirst du abstimmen?
3485,Wie wirst du abstimmen?,"wie immer, per Post. Es kostet mich nur eine 42-Cent-Briefmarke."
3486,"wie immer, per Post. Es kostet mich nur eine 42-Cent-Briefmarke.",Ich meinte: Werden Sie für oder gegen die neuen Steuern stimmen?
3487,Ich meinte: Werden Sie für oder gegen die neuen Steuern stimmen?,natürlich gegen alle.
3488,natürlich gegen alle.,"Aber wir brauchen neue Steuern, um Autobahnen, Schulen und Gefängnisse zu bezahlen."
3489,"Aber wir brauchen neue Steuern, um Autobahnen, Schulen und Gefängnisse zu bezahlen.","Wir haben bereits für neue Steuern gestimmt, um all das zu bezahlen!"
3490,"Wir haben bereits für neue Steuern gestimmt, um all das zu bezahlen!",das ist richtig. Wo ist das Geld geblieben?
3491,das ist richtig. Wo ist das Geld geblieben?,Unsere Gesetzgeber haben es für erstklassige Reisen in der ganzen Welt ausgegeben.
3492,Unsere Gesetzgeber haben es für erstklassige Reisen in der ganzen Welt ausgegeben.,Sie haben eine gute Zeit mit unserem Geld.
3493,Sie haben eine gute Zeit mit unserem Geld.,"Wann werden wir auch aufhören, ihnen mehr zu geben?"
3494,"Haben Sie sich entschieden, wie Sie abstimmen werden?","meinst du die Takte 1, 2 und 3?"
3495,"meinst du die Takte 1, 2 und 3?","Ja. diejenigen, die unsere Schulen, Straßen und Krankenhäuser verbessern werden."
3496,"Ja. diejenigen, die unsere Schulen, Straßen und Krankenhäuser verbessern werden.","Sie meinen die Maßnahmen, die unsere Steuern erhöhen."
3497,"Sie meinen die Maßnahmen, die unsere Steuern erhöhen.","Aber die Fernsehwerbung sagt, dass unsere Steuern nicht steigen werden."
3498,"Aber die Fernsehwerbung sagt, dass unsere Steuern nicht steigen werden.",Glaubst du den Fernsehwerbungen?
3499,Glaubst du den Fernsehwerbungen?,"Mir gefällt der Beitrag, in dem der Feuerwehrmann uns sagt, warum wir mit „Ja“ stimmen sollten."
3500,"Mir gefällt der Beitrag, in dem der Feuerwehrmann uns sagt, warum wir mit „Ja“ stimmen sollten.","glaube ihm nicht! Was auch immer die Fernsehwerbung sagt, das Gegenteil ist der Fall."
3501,"glaube ihm nicht! Was auch immer die Fernsehwerbung sagt, das Gegenteil ist der Fall.",aber der Titel von Maßnahme 1 lautet „Bessere Schulen zum Nulltarif“.
3502,aber der Titel von Maßnahme 1 lautet „Bessere Schulen zum Nulltarif“.,Der Titel sollte „Bessere Schulen zu enormen Kosten“ lauten.
3503,Der Titel sollte „Bessere Schulen zu enormen Kosten“ lauten.,"Ich kann nicht glauben, dass sie uns anlügen würden."
3504,"Ich kann nicht glauben, dass sie uns anlügen würden.","Natürlich lügen sie – das ist es, was Politiker tun!"
3505,Ich habe Bauchschmerzen.,Hast du das gegessen?
3506,Hast du das gegessen?,Vielleicht. Ich bin mir nicht sicher.
3507,Vielleicht. Ich bin mir nicht sicher.,was hattest du zum Frühstück?
3508,was hattest du zum Frühstück?,"das Übliche, Müsli mit Milch und einer Banane."
3509,"das Übliche, Müsli mit Milch und einer Banane.",Vielleicht war die Milch schlecht.
3510,Vielleicht war die Milch schlecht.,es roch nicht schlecht.
3511,es roch nicht schlecht.,Vielleicht war die Banane schlecht.
3512,Vielleicht war die Banane schlecht.,"Nein, die Banane war köstlich."
3513,"Nein, die Banane war köstlich.",Vielleicht musst du einfach auf die Toilette gehen.
3514,Vielleicht musst du einfach auf die Toilette gehen.,"nein, das ist nicht das Problem."
3515,"nein, das ist nicht das Problem.",Vielleicht wird es in einer Weile verschwinden.
3516,Was ist das für ein Fleck?,ich weiß nicht.
3517,i don't know.,es sieht aus wie Blut.
3518,es sieht aus wie Blut.,"Ich glaube, meine Nase hat geblutet."
3519,"Ich glaube, meine Nase hat geblutet.",Sie sollten Ihr Hemd sofort nass machen.
3520,Sie sollten Ihr Hemd sofort nass machen.,Warum?
3521,why?,denn das treibt das Blut aus dem Hemd.
3522,denn das treibt das Blut aus dem Hemd.,Was ist ein bisschen Blut?
3523,Was ist ein bisschen Blut?,Dein weißes Hemd ist ruiniert.
